Index,Gender,Grade,Q1,Q2,Q3,Q4,Q5,Programme,Total
1,1,3,8,4,2,10,0,C,24
2,2,3,4,2,8,8,0,C,22
3,2,3,4,0,0,0,2,A,6
4,1,3,0,2,4,0,0,B,6
5,2,2,8,8,6,8,3,A,33
6,2,3,8,2,6,8,0,C,24
7,1,3,8,4,14,10,2,C,38
8,2,2,6,2,4,8,1,A,21
9,2,2,0,0,0,0,0,A,0
10,2,2,8,2,14,8,2,D,34
11,2,3,8,6,12,5,2,C,33
12,1,2,8,2,12,0,0,A,22
13,2,2,8,6,8,7,2,B,31
14,1,3,8,6,14,7,0,C,35
15,1,3,4,6,14,8,3,C,35
16,1,3,8,6,14,10,2,C,40
17,2,2,8,2,0,0,0,D,10
18,2,2,8,6,14,8,3,D,39
19,2,2,8,2,2,7,1,A,20
20,1,3,8,4,14,9,2,C,37
21,1,3,8,8,14,10,4,C,44
22,1,3,8,2,7,4,0,C,21
23,1,3,8,8,14,8,2,C,40
24,1,3,6,4,14,8,6,C,38
25,1,3,8,6,12,10,1,C,37
26,1,3,4,8,14,3,0,C,29
27,2,2,8,4,11,8,2,A,33
28,2,3,0,2,2,0,0,C,4
29,1,3,8,0,14,8,0,C,30
30,1,3,8,2,14,10,2,C,36
31,1,2,8,8,14,8,3,A,41
32,1,3,8,2,14,10,2,C,36
33,2,3,2,4,4,0,0,C,10
34,2,3,8,4,14,8,1,C,35
35,1,3,4,2,14,2,0,C,22
36,1,3,0,4,2,7,1,C,14
37,2,2,8,2,2,0,0,D,12
38,2,3,8,0,14,10,6,C,38
39,2,2,2,4,14,2,0,D,22
40,2,2,0,0,2,0,0,D,2
41,1,3,6,2,14,10,4,C,36
42,1,2,0,0,0,0,0,D,0
43,2,2,4,2,2,0,1,B,9
44,2,3,8,2,14,10,2,C,36
45,1,2,8,2,7,0,0,D,17
46,2,2,8,4,11,6,1,B,30
47,2,2,8,4,14,7,0,D,33
48,1,2,6,6,14,8,1,A,35
49,2,2,6,4,14,7,0,D,31
50,2,2,8,6,2,7,0,D,23
51,1,2,8,6,14,7,2,A,37
52,1,2,4,4,14,2,0,A,24
53,1,2,8,4,14,8,4,A,38
54,2,2,8,6,14,8,0,A,36
